Rotation[pixels], Rotation [degrees], familiarity
0, 0 deg, 36.2187
1, 3 deg, 36.1503
2, 6 deg, 36.2943
3, 9 deg, 35.9603
4, 12 deg, 36.0677
5, 15 deg, 35.3667
6, 18 deg, 34.4757
7, 21 deg, 34.4473
8, 24 deg, 34.3243
9, 27 deg, 34.219
10, 30 deg, 34.683
11, 33 deg, 34.653
12, 36 deg, 33.4897
13, 39 deg, 33.8243
14, 42 deg, 34.453
15, 45 deg, 35.196
16, 48 deg, 34.0873
17, 51 deg, 33.4987
18, 54 deg, 33.9093
19, 57 deg, 33.522
20, 60 deg, 33.24
21, 63 deg, 33.356
22, 66 deg, 32.7867
23, 69 deg, 33.2367
24, 72 deg, 32.9617
25, 75 deg, 34.0897
26, 78 deg, 34.6113
27, 81 deg, 35.032
28, 84 deg, 35.3007
29, 87 deg, 35.608
30, 90 deg, 36.146
31, 93 deg, 36.2117
32, 96 deg, 36.2603
33, 99 deg, 36.4963
34, 102 deg, 36.5703
35, 105 deg, 36.377
36, 108 deg, 36.199
37, 111 deg, 36.3557
38, 114 deg, 36.5567
39, 117 deg, 36.6667
40, 120 deg, 36.9827
41, 123 deg, 37.049
42, 126 deg, 37.107
43, 129 deg, 37.2187
44, 132 deg, 37.5407
45, 135 deg, 37.6863
46, 138 deg, 37.896
47, 141 deg, 38.312
48, 144 deg, 38.6437
49, 147 deg, 39.0233
50, 150 deg, 39.291
51, 153 deg, 39.6637
52, 156 deg, 39.9023
53, 159 deg, 40.2557
54, 162 deg, 40.3787
55, 165 deg, 40.5203
56, 168 deg, 40.6097
57, 171 deg, 40.6603
58, 174 deg, 40.907
59, 177 deg, 41.322
60, 180 deg, 41.7693
61, -177 deg, 42.1017
62, -174 deg, 42.2123
63, -171 deg, 42.5977
64, -168 deg, 42.9217
65, -165 deg, 43.4777
66, -162 deg, 43.5483
67, -159 deg, 43.6503
68, -156 deg, 43.6783
69, -153 deg, 43.611
70, -150 deg, 43.3417
71, -147 deg, 42.5317
72, -144 deg, 41.5183
73, -141 deg, 40.742
74, -138 deg, 39.6617
75, -135 deg, 38.545
76, -132 deg, 37.57
77, -129 deg, 36.912
78, -126 deg, 36.866
79, -123 deg, 37.1473
80, -120 deg, 37.28
81, -117 deg, 36.9283
82, -114 deg, 36.8453
83, -111 deg, 36.7493
84, -108 deg, 36.9457
85, -105 deg, 36.6197
86, -102 deg, 36.7823
87, -99 deg, 37.137
88, -96 deg, 36.8343
89, -93 deg, 36.686
90, -90 deg, 36.5173
91, -87 deg, 37.2587
92, -84 deg, 37.156
93, -81 deg, 37.0007
94, -78 deg, 36.9413
95, -75 deg, 37.1313
96, -72 deg, 37.139
97, -69 deg, 36.907
98, -66 deg, 36.9197
99, -63 deg, 37.0117
100, -60 deg, 37.2403
101, -57 deg, 37.3477
102, -54 deg, 37.3887
103, -51 deg, 37.4007
104, -48 deg, 37.468
105, -45 deg, 37.5327
106, -42 deg, 37.3267
107, -39 deg, 37.284
108, -36 deg, 37.3307
109, -33 deg, 37.0883
110, -30 deg, 36.7263
111, -27 deg, 36.4157
112, -24 deg, 36.2793
113, -21 deg, 36.428
114, -18 deg, 36.5233
115, -15 deg, 36.317
116, -12 deg, 36.809
117, -9 deg, 36.326
118, -6 deg, 36.2753
119, -3 deg, 36.2763
